CustomerKey,BirthDate,MaritalStatus,Gender,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,Full_Name
29483,12/8/1959,M,M,30000,0,Bachelors,Clerical,Y,MR. JÉSUS NAVARRO
29482,3/5/1959,M,M,30000,3,Bachelors,Clerical,Y,MR. CLAYTON ZHANG
29481,1/5/1960,S,M,30000,3,Graduate Degree,Clerical,N,MR. IVAN SURI
29480,11/10/1960,S,F,30000,3,Graduate Degree,Clerical,Y,MRS. NINA RAJI
29479,7/4/1958,M,M,30000,1,Graduate Degree,Clerical,Y,MR. TOMMY TANG
29478,5/25/1959,S,M,30000,3,Graduate Degree,Clerical,Y,MR. DARREN CARLSON
29477,7/6/1959,M,M,20000,2,Partial College,Manual,N,MR. NEIL RUIZ
29476,7/3/1959,M,F,20000,2,Partial College,Manual,N,MRS. ELIZABETH BRADLEY
29475,9/23/1959,S,M,20000,2,Partial College,Manual,N,MR. JARED WARD
29474,10/4/1959,M,M,20000,2,Partial College,Manual,N,MR. JAIME RAJE
29473,5/22/1960,S,F,20000,1,Partial College,Manual,N,MRS. CARMEN SUBRAM
29472,3/14/1960,M,F,10000,1,High School,Manual,N,MRS. LACEY SHARMA
29471,3/26/1960,S,F,10000,1,High School,Manual,N,MRS. DANA ORTEGA
29470,8/25/1960,S,M,10000,1,High School,Manual,N,MR. NATHAN ROBERTS
29469,4/26/1961,M,F,30000,3,Graduate Degree,Clerical,N,MRS. DOMINIQUE SAUNDERS
29468,6/27/1961,M,F,30000,4,Graduate Degree,Clerical,N,MRS. JACQUELINE MORRIS
29467,10/16/1961,M,F,30000,4,Graduate Degree,Clerical,Y,MRS. MONICA MEHTA
29466,11/26/1943,M,M,30000,1,Bachelors,Clerical,Y,MR. LANCE JIMENEZ
29465,6/19/1977,S,M,20000,0,Partial College,Manual,Y,MR. ROY GILL
29464,9/5/1977,S,M,10000,1,High School,Manual,N,MR. EUGENE GAO
29463,8/20/1978,S,M,10000,1,High School,Manual,Y,MR. LUCAS GONZALES
29462,7/22/1979,S,M,20000,0,Bachelors,Clerical,Y,MR. CLINTON HERNANDEZ
29461,10/9/1977,M,M,10000,0,High School,Manual,Y,MR. COLIN XU
29460,3/15/1977,M,M,10000,0,High School,Manual,N,MR. ANDRES CHANDER
29459,5/4/1977,S,M,10000,0,High School,Manual,N,MR. MARCO MALHOTRA
29458,2/24/1977,S,M,10000,0,High School,Manual,Y,MR. DANNY MORENO
29457,7/28/1978,S,F,10000,0,Partial College,Manual,N,MS. CYNTHIA KAPOOR
29456,6/27/1978,S,F,10000,0,Partial College,Manual,Y,MS. LINDSAY SHE
29455,7/9/1978,M,F,10000,0,Partial College,Manual,Y,MS. DAWN ZENG
29454,1/24/1978,M,F,10000,0,Partial College,Manual,Y,MS. VICTORIA BRADLEY
29453,8/25/1980,M,M,20000,0,Bachelors,Clerical,Y,MR. VICTOR VAZQUEZ
29452,5/23/1979,S,F,10000,0,Partial College,Manual,Y,MS. MEREDITH ROMERO
29451,9/23/1942,S,M,10000,3,Partial College,Manual,N,MR. GEOFFREY LOPEZ
29450,11/7/1942,S,M,10000,2,Partial College,Manual,Y,MR. BRADLEY CHANDE
29449,6/6/1941,S,F,30000,1,Bachelors,Clerical,Y,MRS. LAURA CHEN
29448,11/28/1941,S,NA,20000,1,Partial College,Manual,Y, LINDSEY YUAN
29447,5/25/1938,S,F,10000,2,Bachelors,Clerical,N,MRS. LINDSAY DENG
29446,4/16/1937,S,F,20000,1,Graduate Degree,Clerical,N,MRS. JAMIE MA
29445,9/27/1937,S,F,10000,2,Bachelors,Clerical,Y,MRS. BONNIE LAL
29444,9/8/1956,M,F,20000,1,Bachelors,Clerical,Y,MRS. BETH BLANCO
29442,9/3/1958,S,M,10000,1,Bachelors,Manual,Y,MR. DAMIEN YUAN
29441,8/4/1936,M,F,20000,1,Graduate Degree,Clerical,Y,MRS. ADRIANA PATEL
29440,10/10/1961,S,M,20000,1,Graduate Degree,Clerical,Y,MR. RAFAEL CAI
29439,10/16/1961,M,F,20000,1,Graduate Degree,Clerical,Y,MRS. LAURA ZHU
29438,7/18/1961,M,M,20000,1,Graduate Degree,Clerical,Y,MR. TERRANCE FERNANDEZ
29437,7/2/1962,S,F,20000,1,Graduate Degree,Clerical,N,MRS. HALEY BELL
29436,1/17/1961,S,F,10000,1,Bachelors,Manual,N,MRS. ADRIANA RAMAN
29435,11/11/1962,M,M,10000,1,Bachelors,Manual,Y,MR. STANLEY RODRIGUEZ
29434,10/2/1962,M,F,10000,1,Bachelors,Manual,Y,MRS. DONNA YUAN
29433,2/14/1975,M,M,40000,1,Bachelors,Skilled Manual,Y,MR. THOMAS KING
29432,7/8/1975,M,F,40000,1,Bachelors,Skilled Manual,Y,MRS. GABRIELLE ROBERTS
29431,9/17/1975,M,F,40000,1,Bachelors,Skilled Manual,N,MRS. MARIE GUTIERREZ
29430,11/4/1975,S,F,30000,0,Partial College,Clerical,N,MS. DONNA GOEL
29429,5/22/1975,S,F,30000,0,Partial College,Clerical,N,MS. MARIE SUAREZ
29428,6/11/1974,M,M,20000,0,Partial High School,Manual,Y,MR. KRISTOPHER PEREZ
29427,8/11/1974,S,M,20000,0,Partial High School,Manual,N,MR. WESLEY CHEN
29426,10/2/1974,S,M,20000,0,Partial High School,Manual,N,MR. NEIL GOMEZ
29425,7/26/1974,S,M,20000,0,Partial High School,Manual,N,MR. TOMMY XIE
29424,8/5/1974,M,M,10000,0,Partial High School,Manual,Y,MR. ERIK GILL
29423,6/8/1976,S,M,20000,0,High School,Manual,N,MR. TONY LUO
29422,8/19/1976,S,M,20000,0,High School,Manual,Y,MR. IAN ADAMS
29421,2/19/1976,S,M,20000,0,High School,Manual,N,MR. BLAKE WILLIAMS
29420,1/13/1976,M,F,20000,0,High School,Manual,N,MS. LINDA TRAVERS
29419,11/23/1976,S,F,20000,0,High School,Manual,Y,MS. CARRIE VAZQUEZ
29418,10/21/1975,S,F,20000,0,High School,Manual,N,MS. LINDSEY SHARMA
29417,3/2/1975,M,F,10000,0,Partial High School,Manual,Y,MS. KELLIE VAZQUEZ
29416,8/13/1975,S,M,10000,0,Partial High School,Manual,N,MR. PEDRO RAMOS
29415,9/25/1977,S,M,30000,0,Partial College,Clerical,Y,MR. OSCAR FLORES
29414,8/25/1978,S,F,30000,3,Partial College,Clerical,N,MRS. LYDIA PATEL
29413,9/7/1978,M,M,30000,3,Partial College,Clerical,Y,MR. ARTHUR GARCIA
29412,9/18/1962,M,F,40000,1,Bachelors,Skilled Manual,Y,MRS. MELINDA GUTIERREZ
29411,10/17/1963,M,F,40000,1,Bachelors,Skilled Manual,Y,MRS. CARA LIN
29410,2/21/1979,S,M,30000,3,Partial College,Clerical,Y,MR. LUCAS PRICE
29409,10/23/1979,S,F,30000,3,Partial College,Clerical,N,MRS. KELSEY PAL
29408,8/24/1979,M,F,20000,4,High School,Manual,Y,MRS. HEATHER CHEN
29406,9/25/1976,M,F,10000,0,Partial High School,Manual,N,MS. MELISSA WARD
29405,12/23/1977,S,F,20000,0,High School,Manual,N,MS. MEAGAN VANCE
29404,5/6/1963,S,F,30000,3,Partial College,Clerical,N,MRS. CHLOE ROSS
29403,7/5/1964,M,M,40000,1,Bachelors,Skilled Manual,Y,MR. ERIK ROMERO
29402,4/21/1964,S,M,30000,2,Partial College,Clerical,N,MR. DAMIEN ANDERSEN
29401,11/1/1965,M,M,40000,1,Bachelors,Skilled Manual,Y,MR. JÉSUS GOMEZ
29400,10/24/1965,M,M,40000,1,Bachelors,Skilled Manual,Y,MR. MARVIN BROWNING
29399,2/3/1965,S,F,40000,0,Bachelors,Professional,Y,MS. JANET GOMEZ
29398,7/20/1965,S,M,40000,0,Bachelors,Professional,N,MR. BRUCE SURI
29397,5/14/1965,M,M,30000,2,Partial College,Clerical,Y,MR. WALTER RAMOS
29396,6/1/1934,M,M,30000,1,Bachelors,Skilled Manual,N,MR. ARTURO ZENG
29395,4/8/1934,S,F,20000,2,Partial College,Clerical,N,MRS. LYDIA RANA
29394,11/5/1962,S,F,30000,1,Partial College,Clerical,Y,MRS. RAQUEL TORRES
29393,11/13/1963,S,F,30000,2,Partial College,Clerical,N,MRS. SHEENA RAI
29392,6/17/1966,M,F,40000,0,Bachelors,Professional,Y,MS. TAMARA ANDERSEN
29391,10/14/1966,S,F,40000,0,Bachelors,Professional,N,MS. EBONY CHANDRA
29390,5/14/1966,S,F,40000,0,Bachelors,Professional,Y,MS. SUMMER RODRIGUEZ
29389,2/18/1966,M,M,40000,0,Bachelors,Professional,Y,MR. THOMAS PHILLIPS
29388,4/23/1966,M,M,40000,0,Bachelors,Professional,Y,MR. CALVIN KUMAR
29387,12/3/1933,S,F,10000,4,High School,Manual,N,MRS. JENNY CAI
29386,5/10/1932,S,M,20000,2,Partial College,Manual,Y,MR. FRANKLIN WANG
29385,3/5/1963,S,M,20000,4,High School,Manual,N,MR. DON LAL
29384,6/2/1963,M,F,10000,4,Partial High School,Manual,Y,MRS. LATASHA SANZ
29383,6/16/1963,S,F,10000,3,Partial High School,Manual,N,MRS. KAITLIN VANCE
29382,9/13/1964,M,F,20000,3,High School,Manual,Y,MRS. KARLA DENG
29381,5/9/1964,M,M,20000,3,High School,Manual,Y,MR. MELVIN SHEN
29380,10/15/1964,M,F,20000,3,High School,Manual,Y,MRS. TERESA BLANCO
29379,5/13/1965,M,M,30000,1,Bachelors,Skilled Manual,Y,MR. CRAIG GILL
